clock_mhz,power_w,temp_c,fan1_rpm,fan2_rpm
1875.0,106.5,37.4,0,0
390.0,103.5,35.6,0,0
1875.0,107.0,38.4,0,0
1875.0,107.3,38.6,0,0
405.0,104.7,36.5,0,0
1875.0,107.0,38.9,0,0
855.0,165.1,44.0,0,0
855.0,164.1,44.9,0,0
855.0,164.9,45.6,0,0
855.0,165.0,46.4,0,0
855.0,164.7,46.8,0,0
855.0,165.4,47.3,0,0
855.0,165.7,48.0,0,0
855.0,165.8,48.2,0,0
855.0,160.5,43.7,0,0
960.0,176.0,49.1,0,0
960.0,173.4,50.0,0,0
960.0,173.4,50.5,0,0
960.0,176.5,50.1,0,0
960.0,176.9,51.8,0,0
960.0,177.0,52.3,0,0
960.0,174.8,52.9,0,0
1065.0,134.5,46.5,981,889
1065.0,186.3,51.7,0,0
1065.0,186.6,52.8,0,0
1065.0,186.8,53.2,0,0
1065.0,185.9,53.6,980,1001
1065.0,185.0,53.8,1218,1277
1065.0,185.6,53.8,1320,1371
1170.0,145.8,47.4,1361,1405
1170.0,196.9,51.9,1319,1360
1170.0,196.8,52.2,1315,1360
1170.0,193.8,52.4,1315,1361
1170.0,192.9,52.7,1319,1361
1170.0,196.8,52.7,1318,1364
1170.0,197.0,47.2,1330,1373
1275.0,204.4,52.1,0,0
1275.0,204.3,52.9,0,0
1275.0,202.8,53.7,1257,1307
1275.0,203.5,54.3,1054,1059
1275.0,203.4,54.3,1271,1324
1380.0,164.1,47.4,1368,1408
1380.0,217.1,52.9,1306,1351
1380.0,218.0,53.4,1308,1353
1380.0,218.5,53.8,1315,1359
1380.0,218.6,54.2,1341,1377
1380.0,218.1,54.3,1365,1398
1485.0,214.3,52.5,0,0
1485.0,226.5,54.1,0,0
1485.0,235.0,54.7,976,991
1485.0,234.3,52.8,1180,1236
1485.0,234.5,55.8,1367,1394
1605.0,253.5,54.1,1332,1363
1605.0,244.5,55.0,1326,1363
1605.0,245.0,55.8,1364,1396
1605.0,246.9,56.0,1416,1431
1605.0,179.5,47.8,1457,1468
1710.0,281.8,56.5,1318,1353
1710.0,281.7,57.3,1367,1396
1710.0,283.0,58.0,1456,1466
1710.0,284.5,58.7,1529,1508
1815.0,107.1,46.9,1582,1554
1785.0,309.6,57.2,1345,1367
1785.0,302.7,59.2,1374,1398
1800.0,302.7,59.9,1500,1492
1770.0,309.3,57.9,1593,1556
1920.0,136.1,48.5,1670,1618
1785.0,197.8,56.7,1389,1393
1785.0,307.6,60.0,1490,1484
1755.0,309.4,60.1,1594,1556
2025.0,231.4,50.1,1675,1616
2025.0,105.0,47.0,1703,1630
1785.0,134.7,56.4,1439,1430
1800.0,309.1,59.6,1402,1411
1710.0,309.6,59.8,1500,1486
1785.0,309.5,61.1,1603,1558
2025.0,281.5,51.6,1683,1618
2025.0,110.7,47.5,1713,1643
1785.0,307.2,58.6,1415,1415
1770.0,309.5,60.2,1484,1474
1785.0,305.3,60.9,1587,1554
1965.0,308.6,58.7,1663,1604
450.0,119.6,47.0,1721,1648
