target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
855,855.0,353.89613880869945,84.7,6801.0,0.637,870.0,103
960,960.0,363.6361466735499,83.19,6801.0,0.631,915.0,102
1065,1065.0,386.52056452070735,90.18,6801.0,0.644,1020.0,95
1170,1170.0,398.02846227399687,95.87,6801.0,0.669,1110.0,90
1275,1275.0,399.18563304976914,97.98,6801.0,0.694,1215.0,84
1380,1380.0,398.46486172896795,103.97,6801.0,0.725,1320.0,83
1485,1485.0,397.9010763142343,106.97,6801.0,0.769,1425.0,86
1590,1590.0,396.95075892830334,118.33,6801.0,0.819,1515.0,177
1695,1695.0,395.70055217917053,126.39,6801.0,0.869,1620.0,36
1800,1800.0,394.16214311301775,139.61,6801.0,0.938,1725.0,45
1905,1905.0,392.8804905160694,167.69,6801.0,1.044,1815.0,191
2010,1900.0,392.9059326938492,163.93,6801.0,1.044,1815.0,192
2115,1897.9,392.8636599962049,159.93,6801.0,1.044,1815.0,192
