"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","True","-1.6","none","51.8","27.9","53.38","40.7","41","98.1","47.98","True","21.948","19.05","19.3701","0.32","6926045536285.721","FLOP/s","True","36","40","0x0000000000000000"
"1395","1387.5","1387","1395","True","-7.5","none","56.07","46.06","57.57","42.6","44","97.6","51.23","True","19.789","16.6514","16.9761","0.3247","7923721976622.778","FLOP/s","True","31","36","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","63.1","40.41","64.95","45.5","47","99","57.04","True","17.55","14.9058","15.1482","0.2424","8851698031984.244","FLOP/s","True","28","32","0x0000000000000000"
"1702","1695","1695","1695","True","-7","none","72.15","37.38","74.86","48.8","50","99","64.43","True","15.902","13.2743","13.5005","0.2262","9939632575516.56","FLOP/s","True","24","29","0x0000000000000000"
"1852","1845","1845","1845","True","-7","none","86.36","43.68","90.31","52.5","53","99","76.31","True","14.781","12.0944","12.3158","0.2214","10909305318518.76","FLOP/s","True","22","27","0x0000000000000000"
"2010","2002","2002","2002","True","-8","none","103.29","73.77","106.36","54","55","98.2","90.5","True","13.716","11.0548","11.214","0.1592","11935213564575.502","FLOP/s","True","20","25","0x0000000000000000"
"2167","2152","2152","2152","True","-15","none","110.5","97.07","113.26","53.9","55","96.1","96.84","True","13.135","10.4193","10.572","0.1526","12663125910838.266","FLOP/s","True","19","24","0x0000000000000000"
"2317","2310","2310","2310","True","-7","none","123.44","82.22","128.4","55.5","57","96.8","105.18","True","12.074","9.4727","9.6298","0.1571","13928521821337.22","FLOP/s","True","17","22","0x0000000000000000"
"2475","2467","2467","2467","True","-8","none","141.68","27.02","155.91","59.3","62","95.6","124.44","True","11.499","8.8474","8.9928","0.1453","14912937108873.057","FLOP/s","True","17","21","0x0000000000000000"
"2625","2589.1","2572","2617","False","-35.9","below","164.27","27.37","181.83","62.6","66","92","143.76","True","11.01","8.4182","8.569","0.1507","15673288044073.045","FLOP/s","True","16","20","0x0000000000000000"
"2782","2597.8","2580","2670","False","-184.2","below","171.22","68.74","181.3","64.8","67","99","143.31","True","10.953","8.3972","8.5785","0.1813","15712527210744.863","FLOP/s","True","15","20","0x0000000000000000"
"2932","2587.8","2572","2655","False","-344.2","below","175.04","131.26","181.23","64.9","67","98","146.23","True","11.046","8.4","8.5954","0.1954","15707385261242.676","FLOP/s","True","15","20","0x0000000000000000"
"3090","2588.3","2572","2640","False","-501.7","below","175.72","132.29","182.2","65.3","67","96.7","148.1","True","10.926","8.4144","8.5617","0.1472","15680347730328.893","FLOP/s","True","15","20","0x0000000000000000"
