"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.4","1230","1237","True","-0.6","none","54.06","52.25","55.32","45.8","47","97.5","49.58","True","22.522","19.2827","19.5796","0.2969","6842489437964.076","FLOP/s","True","36","41","0x0000000000000001;0x0000000000000000"
"1395","1388.8","1387","1395","True","-6.2","none","58.34","37.98","60.24","48.3","49","98.5","53.62","True","19.742","16.703","17.0392","0.3362","7899280493144.387","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","62.58","45.87","64.36","50","51","94.6","56.85","True","17.565","14.901","15.1469","0.2459","8854508457644.818","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","True","-7","none","66.49","39.51","69.23","52","53","96.8","59.74","True","16.464","13.4409","13.6729","0.2319","9816375042770.336","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","True","-7","none","70.7","48.02","72.95","50.9","51","97.3","62.79","True","14.762","12.3366","12.5733","0.2367","10695134076980.656","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","True","-8","none","76.02","59.09","78","50","51","97.4","66.44","True","13.723","11.318","11.4681","0.1501","11657645634553.018","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","True","-7","none","88.56","57.91","91.75","51.4","52","96.9","76.37","True","12.629","10.3322","10.4769","0.1447","12769961880424.152","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","True","-7","none","101.04","43.73","106.38","52.5","54","96.6","86.17","True","12.079","9.5914","9.751","0.1596","13756195391991.09","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","True","-8","none","121.8","80.25","126.61","55.3","57","95.6","103.37","True","11.511","8.8836","9.0258","0.1422","14852204436926.578","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2625","2607.5","2602","2610","True","-17.5","none","128.99","78.96","135.24","56.1","58","96.4","107.73","True","10.963","8.5758","8.745","0.1692","15385402033091.693","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","True","-7","none","146.18","89.84","154.69","59.1","61","96.6","120.54","True","10.442","7.8676","7.9909","0.1233","16770138240467.375","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2915.9","2910","2917","True","-16.1","none","166.11","98.24","174.8","62.9","64","96.5","135.43","True","9.867","7.5114","7.6147","0.1033","17565429913156.637","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2948.1","2940","2970","False","-141.9","below","166.33","71.48","179.52","63.4","65","97","143.26","True","9.865","7.4904","7.6041","0.1137","17614842019352.08","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
