"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","True","-1","none","50.1","27.24","51.92","43","43","96.6","40.24","True","20.301","14.5945","14.8545","0.26","264857162167.72964","byte/s","True","27","37","0x0000000000000000"
"1395","1393.1","1387","1395","True","-1.9","none","51.02","21.75","53.76","41.9","42","97.5","47.13","True","15.365","13.3649","13.6054","0.2405","289225077057.83923","byte/s","True","25","28","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","53.32","24.78","55.75","40.9","41","95.9","49.06","True","14.856","12.3971","12.6311","0.234","311805299593.0635","byte/s","True","23","27","0x0000000000000000"
"1702","1695","1695","1695","True","-7","none","57.13","16.49","60.4","40.9","41","92.9","52.38","True","13.772","11.6508","11.8286","0.1778","331778336360.29095","byte/s","True","21","25","0x0000000000000000"
"1852","1845","1845","1845","True","-7","none","59.97","18.9","64.25","40.9","41","97.8","55.06","True","13.714","11.3146","11.5076","0.193","341636185475.29694","byte/s","True","21","25","0x0000000000000000"
"2010","2002","2002","2002","True","-8","none","65.45","32.18","68.66","41.4","42","95.7","59.88","True","13.141","11.2251","11.4206","0.1955","344358774705.2347","byte/s","True","21","24","0x0000000000000000"
"2167","2160","2160","2160","True","-7","none","65.5","22.22","69.73","41.7","42","98.9","59.75","True","13.142","11.1889","11.3959","0.207","345474041666.5554","byte/s","True","21","24","0x0000000000000000"
"2317","2310","2310","2310","True","-7","none","69.39","21.07","73.44","42.1","43","92.6","63.35","True","13.201","11.1237","11.3287","0.205","347497916515.8813","byte/s","True","21","24","0x0000000000000000"
"2475","2467","2467","2467","True","-8","none","75.12","28.25","79.91","42.8","43","98.9","68.73","True","13.162","11.0631","11.2578","0.1946","349400828958.17236","byte/s","True","20","24","0x0000000000000000"
"2625","2617","2617","2617","True","-8","none","81.5","25.86","87.87","44","45","91.2","74.72","True","13.169","11.0105","11.216","0.2055","351070392888.0736","byte/s","True","20","24","0x0000000000000000"
"2782","2752.8","2752","2767","True","-29.2","none","88.51","38.33","93.65","45.4","46","95.8","81.14","True","13.193","10.9743","11.1514","0.1771","352229485777.0994","byte/s","True","20","24","0x0000000000000000"
"2932","2753.2","2752","2775","False","-178.8","below","87.46","28.74","93.87","45.6","46","93.7","80.28","True","13.205","10.9747","11.1665","0.1918","352216965626.3038","byte/s","True","20","24","0x0000000000000000"
"3090","2752.8","2752","2767","False","-337.2","below","88.49","38.63","93.77","46.2","47","97.2","81.13","True","13.165","10.9759","11.1746","0.1987","352177742011.47784","byte/s","True","20","24","0x0000000000000000"
