target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1235.4,267.3056145684998,48.91,15956.6,0.72,1245.0,8
1395,1393.1,288.72548291927114,52.11,16301.0,0.72,1312.0,7
1545,1537.0,320.2817545061243,54.89,16301.0,0.72,1443.5,6
1702,1695.0,355.7113764899887,58.93,15836.0,0.755,1612.0,6
1852,1845.0,383.1543968753301,65.36,16301.0,0.795,1777.0,5
2010,2002.0,400.24689549475056,69.44,15784.3,0.84,1935.0,5
2167,2160.0,402.0497032076338,71.89,15784.3,0.845,1957.0,5
2317,2310.0,408.93742335928073,78.29,16301.0,0.885,2085.0,5
2475,2459.1,410.08293852954836,78.83,16301.0,0.89,2100.0,4
2625,2610.4,411.0570265334327,79.32,15784.3,0.895,2115.0,6
2782,2736.2,411.532849733066,78.7,15784.3,0.895,2115.0,6
2932,2849.8,411.8145169882885,79.38,15784.3,0.895,2115.0,5
3090,2909.9,411.5570580427218,81.04,16301.0,0.895,2115.0,6
