target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1402,1400.4,283.82915908303335,50.45,13539.5,0.72,1335.0,7
1477,1470.0,298.45304685172226,51.85,13517.7,0.72,1402.0,8
1560,1552.0,309.72818041485425,52.49,13505.3,0.72,1470.0,6
1635,1627.0,320.9643953240601,54.75,13505.3,0.74,1545.0,7
1710,1702.0,329.35488684031117,58.26,13801.0,0.76,1642.0,7
1792,1785.0,334.5543295961689,60.6,13491.9,0.78,1721.0,6
1867,1860.0,338.7896097874393,62.16,13477.2,0.805,1815.0,6
1942,1935.0,340.4301126929897,65.29,13801.0,0.82,1875.0,7
2025,2017.0,342.11283899288645,65.79,13477.2,0.84,1942.0,6
2100,2085.3,341.99585206450917,66.94,13801.0,0.84,1935.0,6
