target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1236.2,6949.178966560607,53.64,16301.0,0.72,1245.0,10
1395,1388.0,7965.744553425638,57.23,16301.0,0.72,1312.0,9
1545,1537.0,8895.23354302697,63.83,16301.0,0.72,1440.0,7
1702,1695.0,9968.710060605483,71.92,16301.0,0.755,1612.0,7
1852,1845.0,10931.901192628313,85.84,16301.0,0.795,1785.0,8
2010,2002.0,11957.757509805533,101.31,16301.0,0.8425,1942.0,6
2167,2149.5,12617.162858214491,109.06,16301.0,0.84,1942.0,6
2317,2310.0,13935.882009545385,122.18,16301.0,0.885,2085.0,5
2475,2459.0,14741.382840945633,138.84,16301.0,0.915,2175.0,6
2625,2600.1,15541.225808486884,147.74,16301.0,0.92,2190.0,4
2782,2729.5,16192.243132742344,155.33,16301.0,0.92,2190.0,6
2932,2842.6,16802.813609039134,166.25,16301.0,0.92,2190.0,8
3090,2876.6,16903.637554524073,169.47,16301.0,0.92,2190.0,12
