"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","57.2","18265454799797.656","FLOP/s","54.1766","44.0","75.0","False","True"
"2","gemm","114.2","18267591108657.23","FLOP/s","54.1703","55.0","76.0","False","True"
"3","gemm","171.3","18260728251659.94","FLOP/s","54.1906","56.0","77.0","False","True"
"4","gemm","228.3","18255647588318.004","FLOP/s","54.2057","56.0","78.0","False","True"
"5","gemm","285.4","18257286731132.188","FLOP/s","54.2009","57.0","77.0","False","True"
"6","gemm","342.6","18245253636540.39","FLOP/s","54.2366","57.0","77.0","False","False"
"7","gemm","399.7","18236101188825.7","FLOP/s","54.2638","57.0","79.0","False","False"
"8","gemm","456.9","18213614629645.14","FLOP/s","54.3308","58.0","78.0","False","False"
"9","gemm","514","18220257026444.76","FLOP/s","54.311","57.0","78.0","False","False"
"10","gemm","571.2","18242676562240.605","FLOP/s","54.2443","58.0","78.0","False","False"
"11","gemm","628.3","18237309115497.242","FLOP/s","54.2602","58.0","78.0","False","False"
"12","gemm","685.5","18190182321869.766","FLOP/s","54.4008","58.0","77.0","False","False"
"13","gemm","742.6","18237052870173.348","FLOP/s","54.261","57.0","78.0","False","False"
"14","gemm","799.7","18245326198553.11","FLOP/s","54.2364","57.0","77.0","False","False"
"15","gemm","856.8","18254961247218.61","FLOP/s","54.2078","58.0","77.0","False","False"
"16","gemm","913.9","18254646079708.766","FLOP/s","54.2087","58.0","77.0","False","False"
"17","membw","55.8","423445340792.57874","byte/s","53.2503","57.0","59.0","False","True"
"18","membw","111.8","422764747767.4122","byte/s","53.336","50.0","54.0","False","True"
"19","membw","167.6","424004849988.60754","byte/s","53.18","49.0","53.0","False","True"
"20","membw","223.5","423476202309.87115","byte/s","53.2464","49.0","53.0","False","True"
"21","membw","279.6","421937792803.5824","byte/s","53.4405","49.0","53.0","False","True"
"22","membw","335.5","423638123407.2153","byte/s","53.226","49.0","53.0","False","False"
"23","membw","391.4","422974480830.1594","byte/s","53.3095","49.0","53.0","False","False"
"24","membw","447.3","423678287883.925","byte/s","53.221","49.0","53.0","False","False"
"25","membw","503.3","422542846203.6598","byte/s","53.364","49.0","53.0","False","False"
"26","membw","559.3","422881901352.5085","byte/s","53.3212","49.0","53.0","False","False"
"27","membw","615.3","421941084448.51294","byte/s","53.4401","50.0","53.0","False","False"
"28","membw","671.4","422122742192.628","byte/s","53.4171","50.0","53.0","False","False"
"29","membw","727.5","421716875790.5063","byte/s","53.4685","50.0","53.0","False","False"
"30","membw","783.4","423395897147.80835","byte/s","53.2565","50.0","53.0","False","False"
"31","membw","839.4","422605771408.9852","byte/s","53.3561","50.0","53.0","False","False"
"32","membw","895.4","422492732793.4641","byte/s","53.3703","50.0","53.0","False","False"
"33","membw","951.3","423183533363.7738","byte/s","53.2832","50.0","53.0","False","False"
