"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","9.5","18250750253399.062","FLOP/s","7.2294","37.0","61.0","False","True"
"2","gemm","18.8","18223107693861.71","FLOP/s","7.2403","42.0","64.0","False","True"
"3","gemm","28.2","18228760362642.145","FLOP/s","7.2381","44.0","66.0","False","True"
"4","gemm","37.6","18229366069809.227","FLOP/s","7.2378","46.0","67.0","False","True"
"5","gemm","46.9","18221214184465.49","FLOP/s","7.2411","47.0","68.0","False","True"
"6","gemm","56.3","18214181144905.367","FLOP/s","7.2439","48.0","69.0","False","True"
"7","gemm","65.6","18223932263544.406","FLOP/s","7.24","49.0","69.0","False","False"
"8","gemm","75","18222970272844.875","FLOP/s","7.2404","50.0","70.0","False","False"
"9","gemm","84.4","18220725771182.926","FLOP/s","7.2413","50.0","70.0","False","False"
"10","gemm","93.7","18219147225501.73","FLOP/s","7.2419","51.0","71.0","False","False"
"11","gemm","103","18291335264462.17","FLOP/s","7.2133","51.0","71.0","False","False"
"12","gemm","112.4","18212016233156.137","FLOP/s","7.2447","52.0","71.0","False","False"
"13","gemm","121.7","18199360887399.46","FLOP/s","7.2498","52.0","72.0","False","False"
"14","membw","11.1","421603244123.79877","byte/s","9.1685","52.0","54.0","False","True"
"15","membw","22.1","422438204939.7227","byte/s","9.1504","49.0","52.0","False","True"
"16","membw","33.2","423069689909.62744","byte/s","9.1367","48.0","51.0","False","True"
"17","membw","44.2","423143525761.17487","byte/s","9.1351","48.0","51.0","False","True"
"18","membw","55.2","422997842448.5097","byte/s","9.1383","47.0","51.0","False","True"
"19","membw","66.3","422776509087.4697","byte/s","9.1431","47.0","51.0","False","False"
"20","membw","77.4","422538801928.26215","byte/s","9.1482","47.0","51.0","False","False"
"21","membw","88.4","422718115832.04254","byte/s","9.1443","47.0","51.0","False","False"
"22","membw","99.5","421138996919.5949","byte/s","9.1786","47.0","50.0","False","False"
"23","membw","110.6","420247557147.89026","byte/s","9.1981","47.0","50.0","False","False"
"24","membw","121.7","420576759172.43225","byte/s","9.1909","47.0","50.0","False","False"
