"iteration","workload","phase_elapsed_s","throughput","unit","duration_s","temp_start_c","temp_peak_c","aborted","in_soak"
"1","gemm","57.5","18164273336846.043","FLOP/s","54.4784","37.0","71.0","False","True"
"2","gemm","114.7","18203461618830.906","FLOP/s","54.3611","51.0","74.0","False","False"
"3","gemm","172.1","18158653021542.94","FLOP/s","54.4953","54.0","75.0","False","False"
"4","membw","56.1","421547071276.04364","byte/s","53.4901","55.0","57.0","False","True"
"5","membw","112.3","421146415751.03845","byte/s","53.5409","49.0","52.0","False","False"
"6","membw","168.5","421690047612.6052","byte/s","53.4719","48.0","52.0","False","False"
