target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
840,840.0,4640.895295601605,67.33,7301.0,0.756,802.0,430
945,945.0,5229.348203245087,73.1,7301.0,0.756,892.0,392
1050,1050.0,5828.159001182438,80.65,7301.0,0.756,990.0,367
1155,1155.0,6420.227270874173,88.23,7301.0,0.756,1095.0,333
1260,1260.0,7018.278748963035,94.83,7301.0,0.756,1200.0,310
1365,1365.0,7609.792171305874,105.33,7301.0,0.787,1297.0,292
1470,1470.0,8204.755915578018,118.96,7301.0,0.831,1395.0,311
1575,1575.0,8794.098637892304,138.11,7301.0,0.869,1492.0,336
1680,1680.0,9387.473099123366,162.34,7301.0,0.919,1590.0,506
1785,1684.2,9403.515755412911,165.9,7301.0,0.919,1590.0,499
1890,1677.7,9370.96385871992,166.85,7301.0,0.919,1590.0,506
1995,1687.5,9363.199015530437,167.48,7301.0,0.919,1590.0,518
2100,1677.5,9355.074038320017,167.46,7301.0,0.919,1590.0,506
