"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1198.5","1192","1200","True","-1.5","none","48.69","20.53","50.84","39.9","40","97.4","44.19","True","17.024","14.5892","14.8453","0.256","264953379804.08176","byte/s","True","27","31","0x0000000000000000"
"1260","1259.7","1252","1260","True","-0.3","none","48.73","18.92","51.24","39.7","40","97.3","44.23","True","17.027","14.552","14.8155","0.2635","265632335728.51096","byte/s","True","27","31","0x0000000000000000"
"1320","1318.5","1312","1320","True","-1.5","none","50.39","33.38","51.91","39.2","40","99","45.52","True","16.5","14.1803","14.4495","0.2692","272595184690.51016","byte/s","True","26","30","0x0000000000000000"
"1372","1370.6","1365","1372","True","-1.4","none","51.14","31.84","52.93","39.1","40","97.3","46.07","True","15.894","13.6194","13.8537","0.2343","283820085345.95245","byte/s","True","25","29","0x0000000000000000"
"1432","1425","1425","1425","True","-7","none","52.18","36.79","53.65","39","40","99","46.77","True","15.382","13.1206","13.3562","0.2356","294610311686.35944","byte/s","True","24","28","0x0000000000000000"
"1492","1485","1485","1485","True","-7","none","51.85","18.52","54.21","39.7","40","98.3","46.45","True","15.353","12.7063","12.9369","0.2306","304215739498.4857","byte/s","True","23","28","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","52.44","22.24","55.14","41.4","42","97.4","46.82","True","14.741","12.4221","12.6588","0.2366","311175907763.92505","byte/s","True","23","27","0x0000000000000000"
"1605","1597","1597","1597","True","-8","none","54.88","30.83","57.05","43","44","99","48.96","True","14.832","12.0759","12.3176","0.2417","320098243242.2224","byte/s","True","22","27","0x0000000000000000"
"1665","1657","1657","1657","True","-8","none","54.88","15.6","58.6","44.3","45","94.8","50.49","True","14.261","11.831","12.0257","0.1946","326722735244.9891","byte/s","True","22","26","0x0000000000000000"
"1725","1717","1717","1717","True","-8","none","57.44","26","60.76","45.7","46","97.1","51.24","True","14.239","11.6198","11.8064","0.1866","332662254928.8679","byte/s","True","21","26","0x0000000000000000"
"1785","1777","1777","1777","True","-8","none","61.23","38.01","63.56","46.9","47","99","54.18","True","13.684","11.4224","11.6064","0.184","338409965008.3888","byte/s","True","21","25","0x0000000000000000"
"1837","1830","1830","1830","True","-7","none","59.64","17.98","64.82","47.8","49","93.1","54.64","True","13.706","11.3494","11.5315","0.1821","340588554755.8542","byte/s","True","22","25","0x0000000000000000"
"1897","1890","1890","1890","True","-7","none","64.71","40.11","67.1","49","50","99","57.48","True","13.723","11.2916","11.4887","0.1971","342331375309.27997","byte/s","True","20","25","0x0000000000000000"
