"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","True","-1.1","none","51.97","50.67","53.38","45.2","46","96.5","47.89","True","23.073","19.7527","20.0789","0.3262","6679668949768.9795","FLOP/s","True","37","42","0x0000000000000000"
"2167","2143.8","2137","2145","True","-23.2","none","107.44","81.59","111.77","54","55","99","91","True","13.7","10.8054","10.9467","0.1412","12210636050539.402","FLOP/s","True","20","25","0x0000000000000000"
"3090","2617.6","2587","2730","False","-472.4","below","167.03","52.8","182.79","64.1","66","98.6","140.85","True","11.519","8.5651","8.763","0.1979","15404485034010.438","FLOP/s","True","16","21","0x0000000000000000"
