"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1199.1","1192","1200","True","-0.9","none","52.51","51.37","53.25","44","45","99","47.94","True","23.045","19.5436","19.8351","0.2915","6751139409438.243","FLOP/s","True","36","42","0x0000000000000000"
"1260","1257.6","1252","1260","True","-2.4","none","53.59","47.83","54.51","44.4","45","97.5","49.08","True","21.901","18.5352","18.8221","0.2869","7118407748967.106","FLOP/s","True","34","40","0x0000000000000000"
"1320","1319.3","1312","1320","True","-0.7","none","55","53.58","55.87","44.5","45","97.1","50.2","True","20.798","17.644","17.9602","0.3162","7477980210013.58","FLOP/s","True","33","38","0x0000000000000000"
"1372","1370.4","1365","1372","True","-1.6","none","56.41","44.71","57.7","44.8","45","97.6","51","True","20.259","16.8493","17.1754","0.3261","7830659705278.3955","FLOP/s","True","31","37","0x0000000000000000"
"1432","1425","1425","1425","True","-7","none","58.56","55.08","59.73","44.8","45","96.7","52.77","True","19.193","16.0055","16.2853","0.2798","8243502164881.252","FLOP/s","True","29","35","0x0000000000000000"
"1492","1485","1485","1485","True","-7","none","60.07","42.9","61.61","45.1","46","97.9","53.67","True","18.619","15.305","15.5547","0.2497","8620829208048.375","FLOP/s","True","28","34","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","64.64","62.95","65.54","45.4","46","99","57.88","True","18.039","14.8462","15.0826","0.2363","8887194767046.85","FLOP/s","True","27","33","0x0000000000000000"
"1605","1597","1597","1597","True","-8","none","66.02","35.32","68.53","46.2","47","97.6","59.49","True","16.939","14.0966","14.3383","0.2417","9359823325315.361","FLOP/s","True","27","31","0x0000000000000000"
"1665","1657","1657","1657","True","-8","none","70.42","39.77","73.04","46.8","48","97.8","63.14","True","16.433","13.632","13.8724","0.2404","9678821550512.604","FLOP/s","True","26","30","0x0000000000000000"
"1725","1717","1717","1717","True","-8","none","74.33","43.03","76.93","47.6","48","97.4","66.38","True","15.904","13.0729","13.3152","0.2422","10092706528762.984","FLOP/s","True","25","29","0x0000000000000000"
"1785","1777","1777","1777","True","-8","none","79.8","44.63","82.81","48.8","50","97.5","70.87","True","15.402","12.5287","12.7729","0.2442","10531093145369.846","FLOP/s","True","24","28","0x0000000000000000"
"1837","1830","1830","1830","True","-7","none","85.53","53.59","88.41","49.8","51","99","75.81","True","15.343","12.2071","12.467","0.2599","10808561054388.479","FLOP/s","True","23","28","0x0000000000000000"
"1897","1890","1890","1890","True","-7","none","87.73","27.18","93.43","50.8","52","99","77.71","True","14.769","11.7115","11.8574","0.1459","11265927776238.242","FLOP/s","True","22","27","0x0000000000000000"
