"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1198.8","1192","1200","True","-1.2","none","50.49","29.39","52.18","48","48","98.6","45.86","True","17.022","14.3149","14.5662","0.2512","270030707409.1347","byte/s","True","26","31","0x0000000000000000"
"1260","1260","1260","1260","True","0","none","50.83","27.61","52.64","48.5","49","96.9","46.17","True","17.014","14.2817","14.5388","0.2571","270659220348.03333","byte/s","True","26","31","0x0000000000000000"
"1320","1318.8","1312","1320","True","-1.2","none","50.72","25.13","53","49","49","96.4","46.09","True","16.982","14.2279","14.5042","0.2762","271681793065.41626","byte/s","True","26","31","0x0000000000000000"
"1372","1370.6","1365","1372","True","-1.4","none","51.74","25.95","54.06","49.6","50","97.4","46.86","True","16.412","13.651","13.8766","0.2255","283163443477.1014","byte/s","True","25","30","0x0000000000000000"
"1432","1428.5","1425","1432","True","-3.5","none","52.75","27.38","55.26","50","50","96","47.35","True","15.359","13.0977","13.3377","0.2399","295125150194.8637","byte/s","True","24","28","0x0000000000000000"
"1492","1485","1485","1485","True","-7","none","54.02","32.81","56.08","50.3","51","97.1","48.52","True","15.336","12.7057","12.9389","0.2332","304231379237.13196","byte/s","True","23","28","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","52.77","15.9","56.83","50.8","51","95","48.66","True","14.788","12.4205","12.6573","0.2368","311217398775.17535","byte/s","True","24","27","0x0000000000000000"
"1605","1597","1597","1597","True","-8","none","54.41","16.69","59.31","51.3","52","93","50.04","True","14.323","12.0262","12.2294","0.2032","321420850662.42","byte/s","True","23","26","0x0000000000000000"
"1665","1657","1657","1657","True","-8","none","57.38","27.95","60.63","51.7","52","97.2","51.32","True","14.321","11.8463","12.0384","0.1921","326301931100.79565","byte/s","True","21","26","0x0000000000000000"
"1725","1717","1717","1717","True","-8","none","58.91","18.07","63.31","52","53","94.8","54.21","True","14.281","11.5829","11.7759","0.193","333723029463.58496","byte/s","True","22","26","0x0000000000000000"
"1785","1777","1777","1777","True","-8","none","61.14","23.54","64.77","49.3","50","98.9","54.37","True","13.724","11.4007","11.594","0.1933","339055448131.84973","byte/s","True","21","25","0x0000000000000000"
"1837","1830","1830","1830","True","-7","none","62.06","28.99","65.32","47","47","97","55.15","True","13.722","11.3265","11.5186","0.1921","341277518652.7496","byte/s","True","21","25","0x0000000000000000"
"1897","1890","1890","1890","True","-7","none","63.53","19.15","66.88","45.9","46","92.7","56.44","True","13.71","11.2934","11.4952","0.2019","342277449264.3851","byte/s","True","21","25","0x0000000000000000"
