"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1198.5","1192","1200","True","-1.5","none","52.03","35.75","53.29","47.9","49","99","43.42","True","26.828","19.7487","20.0679","0.3193","6681021918037.909","FLOP/s","True","37","49","0x0000000000000000"
"1260","1259.1","1252","1260","True","-0.9","none","54.27","53.02","55.39","49.7","51","98","49.25","True","21.926","18.6683","18.9761","0.3078","7067680306494.411","FLOP/s","True","35","40","0x0000000000000000"
"1320","1319","1312","1320","True","-1","none","56.1","55.01","57.11","51.3","52","97.3","50.69","True","20.803","17.7458","18.0653","0.3196","7435089650776.268","FLOP/s","True","33","38","0x0000000000000000"
"1372","1370.9","1365","1372","True","-1.1","none","57.73","44.73","59.77","52.3","53","96.8","52.15","True","20.2","16.9576","17.2478","0.2903","7780675178145.53","FLOP/s","True","31","37","0x0000000000000000"
"1432","1425","1425","1425","True","-7","none","59.51","53.62","60.65","49.9","50","96.6","53.73","True","19.495","16.1326","16.4276","0.295","8178564511177.244","FLOP/s","True","29","35","0x0000000000000000"
"1492","1485","1485","1485","True","-7","none","61.2","52.82","62.41","48.1","49","97.5","54.95","True","18.57","15.4614","15.7051","0.2437","8533619757393.132","FLOP/s","True","28","34","0x0000000000000000"
"1545","1537","1537","1537","True","-8","none","64.24","49.3","65.82","47.5","48","96.7","57.24","True","18.135","14.9976","15.2481","0.2505","8797495049668.977","FLOP/s","True","27","33","0x0000000000000000"
"1605","1597","1597","1597","True","-8","none","66.87","45.48","68.57","47.9","48","97.5","58.97","True","17.458","14.2","14.4393","0.2393","9291623086367.41","FLOP/s","True","26","32","0x0000000000000000"
"1665","1657","1657","1657","True","-8","none","71.93","68.4","73.26","47.8","49","99.1","62.95","True","17.247","13.9294","14.1702","0.2408","9472161270930.37","FLOP/s","True","25","31","0x0000000000000000"
"1725","1717","1717","1717","True","-8","none","73.27","47.23","76.07","48.2","49","96.7","64.76","True","17.04","14.0631","14.3004","0.2373","9382081241544.568","FLOP/s","True","26","31","0x0000000000000000"
"1785","1777","1777","1777","True","-8","none","79.23","54.4","82.4","49.3","50","99","69.23","True","16.378","13.1203","13.3611","0.2408","10056262596157.932","FLOP/s","True","24","30","0x0000000000000000"
"1837","1830","1830","1830","True","-7","none","83.33","31.69","88.24","50.9","53","96.2","74.05","True","15.342","12.1478","12.3871","0.2393","10861351046169.086","FLOP/s","True","23","28","0x0000000000000000"
"1897","1890","1890","1890","True","-7","none","89.99","47.85","94.26","53.5","55","95.2","78.98","True","14.285","11.6667","11.8122","0.1455","11309247108858.674","FLOP/s","True","22","26","0x0000000000000000"
