target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
405,405.0,1697.0476113958093,53.22,6775.3,0.644,870.0,165
465,465.0,1951.504769359303,56.86,6697.7,0.644,870.0,150
525,525.0,2206.9470783420115,59.56,6700.9,0.637,870.0,131
585,585.0,2453.018573980977,61.0,6782.4,0.637,870.0,116
630,630.0,2654.070669786515,61.74,6801.0,0.631,870.0,108
690,690.0,2907.8534146346,64.12,6801.0,0.631,870.0,98
750,750.0,3161.6020568972967,68.68,6801.0,0.631,870.0,90
810,810.0,3417.894704743691,72.16,6801.0,0.631,870.0,85
870,870.0,3670.3310095359607,73.25,6801.0,0.631,870.0,81
915,915.0,3861.863695077942,74.47,6801.0,0.631,885.0,75
975,975.0,4181.460608584864,80.14,6801.0,0.631,945.0,71
1035,1035.0,4412.623952633029,89.04,6801.0,0.637,990.0,68
1095,1095.0,4628.443339001027,93.16,6801.0,0.65,1050.0,67
