target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1235.8,7499.090861824417,56.11,16301.0,0.72,1252.0,9
1395,1391.8,8520.424348880244,61.34,16301.0,0.72,1320.0,9
1545,1537.0,9503.973213999006,66.95,16301.0,0.72,1462.0,8
1702,1695.0,10544.135096506963,75.02,16301.0,0.755,1620.0,6
1852,1845.0,11543.897685673814,89.4,16301.0,0.795,1792.0,7
2010,2002.0,12584.148361468951,104.39,16301.0,0.84,1942.0,7
2167,2153.7,13281.444043211442,113.18,16301.0,0.84,1950.0,5
2317,2296.6,14108.607857103641,121.91,16301.0,0.84,1950.0,5
2475,2462.2,15195.51252873114,130.38,16301.0,0.845,1972.0,5
2625,2601.7,16046.925722146972,133.65,16301.0,0.845,1972.0,5
2782,2774.4,17495.66131456636,145.0,16301.0,0.865,2032.0,4
2932,2925.0,18440.80380552368,157.87,16301.0,0.91,2160.0,4
3090,2979.2,18725.576531410825,160.49,15636.7,0.92,2190.0,4
