target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1236.2,7515.798879707193,54.31,16301.0,0.72,1245.0,10
1395,1388.3,8493.737977308636,59.42,16301.0,0.72,1327.0,9
1545,1537.0,9447.70927825013,64.06,16301.0,0.72,1350.0,7
1702,1695.0,10454.219491435764,68.17,16301.0,0.72,1365.0,7
1852,1845.0,11382.520358147593,72.55,16301.0,0.72,1365.0,6
2010,2002.0,12436.49073363859,77.53,16301.0,0.72,1462.0,5
2167,2160.0,13487.83125921366,92.2,16301.0,0.755,1620.0,5
2317,2310.0,14468.861575071849,103.13,16301.0,0.79,1770.0,6
2475,2467.0,15548.83395680299,125.19,16301.0,0.84,1950.0,4
2625,2612.7,16141.024443995399,132.76,16301.0,0.845,1957.0,5
2782,2775.0,17431.309928494597,144.46,16301.0,0.89,2107.0,4
2932,2919.9,18317.71914919719,158.17,16301.0,0.92,2190.0,4
3090,2965.9,18601.662031633346,167.86,16301.0,0.92,2190.0,4
