target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1236.0,7221.126485960251,51.18,13801.0,0.72,1237.0,10
1395,1388.3,8208.6771315512,55.12,13801.0,0.72,1312.0,9
1545,1537.0,9154.42149116021,61.81,13801.0,0.72,1447.0,8
1702,1695.0,10193.53877650855,70.95,13801.0,0.755,1612.0,7
1852,1845.0,11214.661023850613,86.83,13801.0,0.8,1792.0,5
2010,2002.0,12209.429734339703,101.17,13801.0,0.84,1942.0,6
2167,2152.4,12884.52541826981,109.0,13801.0,0.84,1942.0,5
2317,2310.0,14162.296954418138,123.91,13801.0,0.885,2085.0,6
2475,2467.0,15153.127177541313,145.25,13801.0,0.94,2238.5,6
2625,2587.8,16008.902784176615,174.11,13801.0,0.98,2347.0,16
2782,2588.4,15968.824900575466,175.36,13801.0,0.98,2347.0,16
2932,2597.8,15936.288774615701,171.15,13801.0,0.985,2347.0,10
3090,2590.7,15901.5394577608,173.78,13801.0,0.98,2347.0,16
