target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1237,1236.0,7222.490537089414,52.06,16301.0,0.72,1245.0,10
1395,1388.0,8142.238937944295,56.58,16301.0,0.72,1312.0,9
1545,1537.0,9122.00669228653,63.24,16301.0,0.72,1447.0,8
1702,1695.0,10156.17156539817,72.99,16301.0,0.755,1612.0,7
1852,1845.0,11178.256358639119,86.07,16301.0,0.795,1792.0,7
2010,2002.0,12180.613464665441,102.0,16301.0,0.84,1942.0,5
2167,2152.0,12876.105772500965,109.87,16301.0,0.84,1942.0,6
2317,2310.0,14166.06275790304,120.76,16301.0,0.885,2085.0,5
2475,2462.9,14992.75140214609,143.41,16301.0,0.915,2175.0,4
2625,2610.0,15798.58699731531,151.31,16301.0,0.92,2190.0,6
2782,2746.3,16649.284874233745,162.3,16301.0,0.92,2190.0,5
2932,2876.7,17354.230390654287,165.85,16301.0,0.92,2190.0,4
3090,2917.1,17591.822245543626,170.99,16301.0,0.92,2190.0,4
