target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
840,840.0,4653.56902231227,66.49,7301.0,0.756,802.0,94
945,945.0,5239.850584787158,72.58,7301.0,0.756,885.0,89
1050,1050.0,5837.509338218273,80.22,7301.0,0.756,986.0,80
1155,1155.0,6433.8332516061355,88.78,7301.0,0.756,1095.0,71
1260,1260.0,7026.910184171559,96.06,7301.0,0.756,1200.0,67
1365,1365.0,7623.128800401796,106.81,7301.0,0.794,1297.0,61
1470,1470.0,8214.876592746743,117.38,7301.0,0.831,1395.0,68
1575,1575.0,8807.685110171105,138.33,7301.0,0.869,1492.0,67
1680,1680.0,9396.323529183344,159.71,7301.0,0.919,1590.0,165
1785,1686.1,9429.291373886812,166.34,7301.0,0.919,1590.0,162
1890,1691.6,9398.727726981171,165.34,7301.0,0.919,1597.0,155
1995,1687.0,9391.057724494618,166.35,7301.0,0.919,1590.0,162
2100,1678.0,9391.242946694998,164.86,7301.0,0.919,1590.0,165
