target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1380,1378.5,9317.642403013564,65.49,13801.0,0.72,1297.0,7
1410,1402.0,9431.162344736258,66.07,13801.0,0.72,1327.0,7
1440,1432.0,9685.446632749292,68.61,13801.0,0.72,1350.0,8
1470,1462.0,9815.746777087144,70.18,13801.0,0.72,1410.0,7
1507,1500.0,10297.068239583718,72.49,13801.0,0.72,1410.0,7
1537,1530.0,10495.973772492134,73.99,13801.0,0.72,1451.0,6
1567,1560.0,10683.368377238312,76.35,13801.0,0.72,1477.0,7
1597,1590.0,10910.505489530558,79.24,13801.0,0.73,1500.0,6
1627,1620.0,11103.954183075186,80.68,13801.0,0.74,1530.0,7
1665,1657.0,11360.776600243798,81.41,13801.0,0.745,1586.0,6
1695,1687.0,11590.39357975217,87.14,13801.0,0.755,1620.0,6
1725,1717.0,11792.692532829416,88.43,13801.0,0.76,1650.0,6
1755,1747.0,11987.299895624421,93.29,13801.0,0.765,1672.0,5
