target,achieved,throughputGbs,powerW,memoryMhz,voltage,crossbar,sampleCount
1380,1378.3,8522.14712568079,62.68,13801.0,0.72,1297.0,8
1410,1402.0,8685.18025943255,64.15,13801.0,0.72,1327.0,8
1440,1432.0,8883.804900882256,65.71,13801.0,0.72,1350.0,9
1470,1462.0,8888.868573129888,65.68,13801.0,0.72,1402.0,8
1507,1500.0,9150.097102982558,68.4,13801.0,0.72,1410.0,8
1537,1530.0,9650.138092141546,71.2,13801.0,0.72,1462.0,7
1567,1560.0,9439.3719346373,70.06,13801.0,0.72,1477.0,7
1597,1590.0,10306.527794075146,75.79,13801.0,0.73,1500.0,7
1627,1620.0,9961.058165526214,74.55,13801.0,0.735,1530.0,7
1665,1657.0,10561.709487788956,79.63,13801.0,0.745,1582.0,7
1695,1687.0,10630.141187400826,81.53,13801.0,0.755,1616.0,6
1725,1717.0,10858.16951493256,84.91,13801.0,0.76,1646.0,8
1755,1747.0,11147.835963645266,88.86,13801.0,0.77,1676.0,6
